network,geoname_id,continent_code,continent_name,country_iso_code,country_name,is_anonymous_proxy,is_satellite_provider
"41.74.160.0/20","49518","AF","Africa","RW","Rwanda","0","0"
"41.77.160.0/22","49518","AF","Africa","RW","Rwanda","0","0"
"41.138.80.0/21","49518","AF","Africa","RW","Rwanda","0","0"
"41.186.0.0/16","49518","AF","Africa","RW","Rwanda","0","0"
"41.197.0.0/16","49518","AF","Africa","RW","Rwanda","0","0"
"41.215.248.0/22","49518","AF","Africa","RW","Rwanda","0","0"
"41.216.96.0/20","49518","AF","Africa","RW","Rwanda","0","0"
"41.216.112.0/21","49518","AF","Africa","RW","Rwanda","0","0"
"41.216.120.0/22","49518","AF","Africa","RW","Rwanda","0","0"
"41.222.244.0/22","49518","AF","Africa","RW","Rwanda","0","0"
"41.242.140.0/22","49518","AF","Africa","RW","Rwanda","0","0"
"104.143.19.0/24","49518","AF","Africa","RW","Rwanda","0","0"
"105.21.96.0/19","49518","AF","Africa","RW","Rwanda","0","0"
"105.178.0.0/15","49518","AF","Africa","RW","Rwanda","0","0"
"154.68.64.0/18","49518","AF","Africa","RW","Rwanda","0","0"
"196.12.140.0/22","49518","AF","Africa","RW","Rwanda","0","0"
"196.12.144.0/22","49518","AF","Africa","RW","Rwanda","0","0"
"196.44.240.0/20","49518","AF","Africa","RW","Rwanda","0","0"
"196.49.7.0/24","49518","AF","Africa","RW","Rwanda","0","0"
"196.223.12.0/24","49518","AF","Africa","RW","Rwanda","0","0"
"197.157.128.0/18","49518","AF","Africa","RW","Rwanda","0","0"
"197.157.212.0/22","49518","AF","Africa","RW","Rwanda","0","0"
"197.234.244.0/22","49518","AF","Africa","RW","Rwanda","0","0"
"197.243.0.0/17","49518","AF","Africa","RW","Rwanda","0","0"
"41.78.72.0/22","51537","AF","Africa","SO","Somalia","0","0"
"41.79.196.0/22","51537","AF","Africa","SO","Somalia","0","0"
"41.223.108.0/22","51537","AF","Africa","SO","Somalia","0","0"
"80.78.20.233/32","51537","AF","Africa","SO","Somalia","0","0"
"80.78.20.234/31","51537","AF","Africa","SO","Somalia","0","0"
"80.78.20.236/30","51537","AF","Africa","SO","Somalia","0","0"